associated_contig_396,VSDI02000400.1
associated_contig_128,VSDI02000132.1
associated_contig_139,VSDI02000143.1
associated_contig_140,VSDI02000144.1
associated_contig_141,VSDI02000145.1
associated_contig_142,VSDI02000146.1
associated_contig_143,VSDI02000147.1
associated_contig_144,VSDI02000148.1
associated_contig_145,VSDI02000149.1
associated_contig_146,VSDI02000150.1
associated_contig_119,VSDI02000123.1
associated_contig_111,VSDI02000115.1
associated_contig_112,VSDI02000116.1
associated_contig_113,VSDI02000117.1
associated_contig_114,VSDI02000118.1
associated_contig_115,VSDI02000119.1
associated_contig_116,VSDI02000120.1
associated_contig_117,VSDI02000121.1
associated_contig_118,VSDI02000122.1
associated_contig_73,VSDI02000077.1
associated_contig_120,VSDI02000124.1
associated_contig_121,VSDI02000125.1
associated_contig_122,VSDI02000126.1
associated_contig_123,VSDI02000127.1
associated_contig_124,VSDI02000128.1
associated_contig_125,VSDI02000129.1
associated_contig_126,VSDI02000130.1
associated_contig_127,VSDI02000131.1
associated_contig_28,VSDI02000032.1
associated_contig_19,VSDI02000023.1
associated_contig_20,VSDI02000024.1
associated_contig_21,VSDI02000025.1
associated_contig_22,VSDI02000026.1
associated_contig_23,VSDI02000027.1
associated_contig_24,VSDI02000028.1
associated_contig_25,VSDI02000029.1
associated_contig_26,VSDI02000030.1
associated_contig_27,VSDI02000031.1
associated_contig_18,VSDI02000022.1
associated_contig_29,VSDI02000033.1
associated_contig_30,VSDI02000034.1
associated_contig_31,VSDI02000035.1
associated_contig_32,VSDI02000036.1
associated_contig_33,VSDI02000037.1
associated_contig_34,VSDI02000038.1
associated_contig_35,VSDI02000039.1
associated_contig_36,VSDI02000040.1
associated_contig_9,VSDI02000013.1
associated_contig_1,VSDI02000005.1
associated_contig_2,VSDI02000006.1
associated_contig_3,VSDI02000007.1
associated_contig_4,VSDI02000008.1
associated_contig_5,VSDI02000009.1
associated_contig_6,VSDI02000010.1
associated_contig_7,VSDI02000011.1
associated_contig_8,VSDI02000012.1
associated_contig_37,VSDI02000041.1
associated_contig_10,VSDI02000014.1
associated_contig_11,VSDI02000015.1
associated_contig_12,VSDI02000016.1
associated_contig_13,VSDI02000017.1
associated_contig_14,VSDI02000018.1
associated_contig_15,VSDI02000019.1
associated_contig_16,VSDI02000020.1
associated_contig_17,VSDI02000021.1
associated_contig_64,VSDI02000068.1
associated_contig_56,VSDI02000060.1
associated_contig_57,VSDI02000061.1
associated_contig_58,VSDI02000062.1
associated_contig_59,VSDI02000063.1
associated_contig_60,VSDI02000064.1
associated_contig_61,VSDI02000065.1
associated_contig_62,VSDI02000066.1
associated_contig_63,VSDI02000067.1
associated_contig_55,VSDI02000059.1
associated_contig_65,VSDI02000069.1
associated_contig_66,VSDI02000070.1
associated_contig_67,VSDI02000071.1
associated_contig_68,VSDI02000072.1
associated_contig_69,VSDI02000073.1
associated_contig_70,VSDI02000074.1
associated_contig_71,VSDI02000075.1
associated_contig_72,VSDI02000076.1
associated_contig_46,VSDI02000050.1
associated_contig_38,VSDI02000042.1
associated_contig_39,VSDI02000043.1
associated_contig_40,VSDI02000044.1
associated_contig_41,VSDI02000045.1
associated_contig_42,VSDI02000046.1
associated_contig_43,VSDI02000047.1
associated_contig_44,VSDI02000048.1
associated_contig_45,VSDI02000049.1
associated_contig_293,VSDI02000297.1
associated_contig_47,VSDI02000051.1
associated_contig_48,VSDI02000052.1
associated_contig_49,VSDI02000053.1
associated_contig_50,VSDI02000054.1
associated_contig_51,VSDI02000055.1
associated_contig_52,VSDI02000056.1
associated_contig_53,VSDI02000057.1
associated_contig_54,VSDI02000058.1
associated_contig_248,VSDI02000252.1
associated_contig_239,VSDI02000243.1
associated_contig_240,VSDI02000244.1
associated_contig_241,VSDI02000245.1
associated_contig_242,VSDI02000246.1
associated_contig_243,VSDI02000247.1
associated_contig_244,VSDI02000248.1
associated_contig_245,VSDI02000249.1
associated_contig_246,VSDI02000250.1
associated_contig_247,VSDI02000251.1
associated_contig_238,VSDI02000242.1
associated_contig_249,VSDI02000253.1
associated_contig_250,VSDI02000254.1
associated_contig_251,VSDI02000255.1
associated_contig_252,VSDI02000256.1
associated_contig_253,VSDI02000257.1
associated_contig_254,VSDI02000258.1
associated_contig_255,VSDI02000259.1
associated_contig_256,VSDI02000260.1
associated_contig_229,VSDI02000233.1
associated_contig_221,VSDI02000225.1
associated_contig_222,VSDI02000226.1
associated_contig_223,VSDI02000227.1
associated_contig_224,VSDI02000228.1
associated_contig_225,VSDI02000229.1
associated_contig_226,VSDI02000230.1
associated_contig_227,VSDI02000231.1
associated_contig_228,VSDI02000232.1
associated_contig_257,VSDI02000261.1
associated_contig_230,VSDI02000234.1
associated_contig_231,VSDI02000235.1
associated_contig_232,VSDI02000236.1
associated_contig_233,VSDI02000237.1
associated_contig_234,VSDI02000238.1
associated_contig_235,VSDI02000239.1
associated_contig_236,VSDI02000240.1
associated_contig_237,VSDI02000241.1
associated_contig_284,VSDI02000288.1
associated_contig_276,VSDI02000280.1
associated_contig_277,VSDI02000281.1
associated_contig_278,VSDI02000282.1
associated_contig_279,VSDI02000283.1
associated_contig_280,VSDI02000284.1
associated_contig_281,VSDI02000285.1
associated_contig_282,VSDI02000286.1
associated_contig_283,VSDI02000287.1
associated_contig_275,VSDI02000279.1
associated_contig_285,VSDI02000289.1
associated_contig_286,VSDI02000290.1
associated_contig_287,VSDI02000291.1
associated_contig_288,VSDI02000292.1
associated_contig_289,VSDI02000293.1
associated_contig_290,VSDI02000294.1
associated_contig_291,VSDI02000295.1
associated_contig_292,VSDI02000296.1
associated_contig_266,VSDI02000270.1
associated_contig_258,VSDI02000262.1
associated_contig_259,VSDI02000263.1
associated_contig_260,VSDI02000264.1
associated_contig_261,VSDI02000265.1
associated_contig_262,VSDI02000266.1
associated_contig_263,VSDI02000267.1
associated_contig_264,VSDI02000268.1
associated_contig_265,VSDI02000269.1
associated_contig_148,VSDI02000152.1
associated_contig_267,VSDI02000271.1
associated_contig_268,VSDI02000272.1
associated_contig_269,VSDI02000273.1
associated_contig_270,VSDI02000274.1
associated_contig_271,VSDI02000275.1
associated_contig_272,VSDI02000276.1
associated_contig_273,VSDI02000277.1
associated_contig_274,VSDI02000278.1
associated_contig_175,VSDI02000179.1
associated_contig_166,VSDI02000170.1
associated_contig_167,VSDI02000171.1
associated_contig_168,VSDI02000172.1
associated_contig_169,VSDI02000173.1
associated_contig_170,VSDI02000174.1
associated_contig_171,VSDI02000175.1
associated_contig_172,VSDI02000176.1
associated_contig_173,VSDI02000177.1
associated_contig_174,VSDI02000178.1
associated_contig_165,VSDI02000169.1
associated_contig_176,VSDI02000180.1
associated_contig_177,VSDI02000181.1
associated_contig_178,VSDI02000182.1
associated_contig_179,VSDI02000183.1
associated_contig_180,VSDI02000184.1
associated_contig_181,VSDI02000185.1
associated_contig_182,VSDI02000186.1
associated_contig_183,VSDI02000187.1
associated_contig_156,VSDI02000160.1
associated_contig_147,VSDI02000151.1
associated_contig_149,VSDI02000153.1
associated_contig_150,VSDI02000154.1
associated_contig_151,VSDI02000155.1
associated_contig_152,VSDI02000156.1
associated_contig_153,VSDI02000157.1
associated_contig_154,VSDI02000158.1
associated_contig_155,VSDI02000159.1
associated_contig_219,VSDI02000223.1
associated_contig_157,VSDI02000161.1
associated_contig_158,VSDI02000162.1
associated_contig_159,VSDI02000163.1
associated_contig_160,VSDI02000164.1
associated_contig_161,VSDI02000165.1
associated_contig_162,VSDI02000166.1
associated_contig_163,VSDI02000167.1
associated_contig_164,VSDI02000168.1
associated_contig_211,VSDI02000215.1
associated_contig_203,VSDI02000207.1
associated_contig_204,VSDI02000208.1
associated_contig_205,VSDI02000209.1
associated_contig_206,VSDI02000210.1
associated_contig_207,VSDI02000211.1
associated_contig_208,VSDI02000212.1
associated_contig_209,VSDI02000213.1
associated_contig_210,VSDI02000214.1
associated_contig_185,VSDI02000189.1
associated_contig_212,VSDI02000216.1
associated_contig_213,VSDI02000217.1
associated_contig_214,VSDI02000218.1
associated_contig_215,VSDI02000219.1
associated_contig_216,VSDI02000220.1
associated_contig_217,VSDI02000221.1
associated_contig_218,VSDI02000222.1
associated_contig_220,VSDI02000224.1
associated_contig_201,VSDI02000205.1
associated_contig_184,VSDI02000188.1
associated_contig_186,VSDI02000190.1
associated_contig_187,VSDI02000191.1
associated_contig_188,VSDI02000192.1
associated_contig_189,VSDI02000193.1
associated_contig_190,VSDI02000194.1
associated_contig_191,VSDI02000195.1
associated_contig_192,VSDI02000196.1
associated_contig_193,VSDI02000197.1
associated_contig_194,VSDI02000198.1
associated_contig_195,VSDI02000199.1
associated_contig_196,VSDI02000200.1
associated_contig_197,VSDI02000201.1
associated_contig_198,VSDI02000202.1
associated_contig_199,VSDI02000203.1
associated_contig_200,VSDI02000204.1
associated_contig_202,VSDI02000206.1
associated_contig_575,VSDI02000579.1
III,CM025454.2
X,CM025456.2
IV,CM025455.2
II,CM025453.2
