"","gene_id","Chr","Start","End","Strand","Length","logFC","logCPM","LR","PValue","FDR"
"42","gene-LOC119070453","X",45335124,45344686,"-",3956,-5.55735892988114,-0.560494249863081,78.3668520430114,8.55761839574723e-19,4.0440859504474e-16
"45","gene-LOC119082231","IV",43605138,43607140,"+",1506,-3.92282137791892,0.549959100038959,75.5519721417604,3.55914279222836e-18,1.56981924755886e-15
"46","gene-LOC119068954","X",24993345,25066465,"-",9595,-5.91057070577404,-0.704071023722043,75.3424402875124,3.95760747994062e-18,1.70762159264916e-15
"49","gene-LOC119069054","X",11149773,11154199,"+",1648,-2.17688919849807,2.10395957874742,69.0925899356633,9.39476773405591e-17,3.80545612215391e-14
"51","gene-LOC119068847","X",27182417,27183623,"-",768,-5.12544841257878,-0.11522931495094,68.5947112732886,1.20927986587311e-16,4.70623270153912e-14
"54","gene-LOC119083238","IV",79308113,79308508,"-",236,-8.05861213838358,-1.17787314005389,63.6584519824044,1.47972755000988e-15,5.43882081714743e-13
"56","gene-LOC119069795","X",59150740,59200219,"+",3480,-5.62426643219652,-0.979361695857996,60.4428523890869,7.57459085785379e-15,2.68465141690504e-12
"60","gene-LOC119068944","X",24513185,24515526,"-",899,-3.77058726715268,-0.21756063470226,55.8831697820504,7.69081385689661e-14,2.52716443906405e-11
"61","gene-LOC119084984","X",53038211,53058202,"+",2565,-5.9916067008477,-1.35527834098038,55.863820856606,7.7668798258216e-14,2.52716443906405e-11
"63","gene-LOC119081609","X",56902999,56910805,"-",6478,-7.60773923912742,-1.57935635609219,54.4835168490471,1.56757161714223e-13,4.93859705667287e-11
"65","gene-LOC119080403","X",58264483,58289540,"+",1800,-5.26545333233649,-1.2845664782025,52.3634880463806,4.61219861708204e-13,1.40835258695145e-10
"66","gene-LOC119069471","X",39049011,39096913,"+",2761,-4.16731891033073,-0.610094232522201,52.2181763414363,4.96643015749751e-13,1.4935409964547e-10
"69","gene-LOC119069635","X",62840083,62843614,"-",3240,-5.26124078340712,-1.29725283112433,51.6470771277774,6.64294633888578e-13,1.91085795556819e-10
"71","gene-LOC119069508","X",39421935,39460802,"+",2433,-3.50931540868461,-0.543291892662353,49.2228385657582,2.28475085671813e-12,6.38700493016077e-10
"76","gene-LOC119067227","X",34555515,34563013,"-",2138,-7.40812405673989,-1.76035370530036,47.431869070938,5.69492539597684e-12,1.48727472709669e-09
"77","gene-LOC119068463","X",47969953,47981551,"-",3748,-2.42911550035206,1.49009541268476,46.9932772971014,7.12306148881973e-12,1.83608473285836e-09
"81","gene-LOC119068523","X",47018554,47025356,"+",1949,-2.89999841418061,0.502174645876536,45.1762264260926,1.80077892730651e-11,4.41257532705921e-09
"83","gene-LOC119068633","X",23936853,23938537,"+",1498,-3.60247815824663,-0.676559738683255,44.777338948764,2.20762921465802e-11,5.27915959669064e-09
"84","gene-LOC119068735","X",28422108,28423126,"-",900,-2.22808402967248,1.17887054941545,43.4195825401193,4.41745196518723e-11,1.0437807929171e-08
"98","gene-LOC119067542","X",31707517,31868744,"-",4548,-4.19453173391356,-1.43005628403536,39.6375020808461,3.05755148121601e-10,6.19247773460974e-08
"100","gene-LOC119069298","X",10582043,10583538,"-",1389,-6.96975020325568,-2.11378946955521,38.8892900992955,4.48534672366342e-10,8.90251617712716e-08
"102","gene-LOC119070329","X",46915137,46941452,"-",2052,-2.17512933405663,0.787728547933564,37.7132403664187,8.19464591529866e-10,1.59458168751812e-07
"111","gene-LOC119068503","X",48238745,48376827,"+",6900,-4.87031886292507,-1.61410677356943,34.4573456262138,4.35695375625425e-09,7.7907043382103e-07
"114","gene-LOC119067244","X",34728304,34730164,"-",1133,-2.46408104044132,0.0811803902044543,33.7809726431948,6.16791827103263e-09,1.07386703371452e-06
"116","gene-LOC119068037","X",16815468,16817449,"-",1465,-2.13554409114989,0.463032066572799,33.3740711227505,7.60309095400064e-09,1.30091507978452e-06
"124","gene-LOC119069093","X",12062827,12065107,"+",1684,-4.66814975394606,-1.7833735089048,32.442734499451,1.22757048668547e-08,1.96490475965591e-06
"125","gene-LOC119067883","X",43300406,43316150,"-",2369,-3.98701888120497,-1.59759982085847,32.3875982486034,1.26289887840985e-08,2.00528135509429e-06
"128","gene-LOC119070330","X",46913181,46915168,"+",1394,-5.10796422904031,-2.0900556470444,31.7183110922938,1.78233788246881e-08,2.7637376790032e-06
"129","gene-LOC119068789","X",27924500,27927303,"-",2144,-3.45107214601908,-1.21677679579653,31.6587875339294,1.83781115760942e-08,2.82766479505673e-06
"131","gene-LOC119070461","X",45267287,45272172,"+",1939,-2.69713365282173,-0.362682248154169,31.5317606245072,1.96204673277151e-08,2.97272546198847e-06
"132","gene-LOC119085308","X",52429114,52433177,"-",2653,-2.98832489130214,-0.861592559938808,31.1820711319951,2.3492582074907e-08,3.5324300683542e-06
"138","gene-LOC119067148","X",35324452,35326032,"-",1448,-6.75388777751482,-2.27295294058154,30.4522815283888,3.42180654921903e-08,4.92145046296372e-06
"144","gene-LOC119068873","X",26714651,26717368,"-",1553,-2.10525947969494,0.163877820975309,29.3999417706393,5.88794118602176e-08,8.11554560139999e-06
"150","gene-LOC119080274","III",50968417,50969390,"+",796,-2.63517003924133,-0.712276284168848,28.883944687994,7.68472636167376e-08,1.01684299217667e-05
"152","gene-LOC119069031","X",386523,387142,"+",508,-7.4376594206895,-1.74018873649415,28.5088770765831,9.32698764113572e-08,1.21790822829777e-05
"157","gene-LOC119069722","X",58293918,58322925,"+",8610,-3.53317262194572,-1.5105598949817,27.6723558632157,1.43701668470695e-07,1.81668198459003e-05
"164","gene-LOC119067105","X",4251701,4254762,"+",1886,-2.12941979057199,-0.209409775568651,26.2964633495285,2.92824411458417e-07,3.54388958452845e-05
"165","gene-LOC119083565","III",70743901,70770257,"+",4945,-2.39502068741676,-0.181287310062105,26.136159628781,3.18169498522746e-07,3.82728982222998e-05
"172","gene-LOC119067276","X",36614504,36616842,"-",1805,-3.7412164665392,-1.78433969252689,24.7832686421386,6.41519100368728e-07,7.40283203727821e-05
"182","gene-LOC119067124","X",35450620,35451041,"+",356,-2.53811941634792,-0.687847515159546,22.8119922678041,1.78647482628887e-06,0.00019429653910907
"185","gene-LOC119084870","X",53304808,53318581,"+",250,-6.61022079176837,-2.36095555802722,22.4165425984033,2.19475485717621e-06,0.000235467537325586
"189","gene-LOC119069994","X",14626890,14627943,"-",990,-2.30483397010469,-1.0171796118953,21.8936576213857,2.88184825522933e-06,0.000302639810422179
"190","gene-LOC119067132","X",35354634,35405706,"-",4125,-2.91393211578663,-1.05418146908306,21.8805391376476,2.901616924744e-06,0.000303112066959573
"191","gene-LOC119082967","X",56546834,56547530,"+",512,-2.50665805169622,-0.725021901823937,21.7681513088982,3.07665201417136e-06,0.000318513231561382
"194","gene-LOC119070389","X",46231451,46320609,"+",2861,-2.40752079059321,-0.655878827916801,21.6151941383665,3.33201783549078e-06,0.000340896340200108
"197","gene-LOC119073778","III",20703437,20714205,"-",5068,-2.01256817616349,0.0451678586275942,21.38836347701,3.75040522149599e-06,0.00037785808546321
"204","gene-LOC119069512","X",39985692,39986432,"+",686,-2.22940181101947,-0.613737013300086,20.8164397821878,5.05472086421914e-06,0.00049179460643638
"207","gene-LOC119071570","IV",49344906,49373794,"+",1865,-2.5685761834863,0.0109521542372052,20.3934221042985,6.30461307348136e-06,0.000604511885422502
"245","gene-LOC119081020","X",49198610,49199141,"-",466,-3.39205301666789,-2.35759978536512,17.1315836518931,3.48774717038714e-05,0.00282550227909567
"247","gene-LOC119068358","X",22377890,22407231,"-",2307,-5.78735621960435,-2.97232070695718,16.9878668636474,3.76194539159128e-05,0.00302295919563983
"248","gene-LOC119070025","X",14915672,14917918,"-",1590,-5.69393305162604,-3.01920554831133,16.8134491853739,4.1239989703705e-05,0.00330052949854491
"251","gene-LOC119068927","X",28952941,28966789,"-",2290,-4.43267337234133,-2.5819090578553,16.7186317676296,4.33531354858686e-05,0.00342817941483474
"265","gene-LOC119080939","III",43895809,43979344,"+",7840,-5.65601015632549,-3.06463978684229,15.9929698212701,6.35781360529578e-05,0.00475566291325808
"266","gene-LOC119067241","X",33679444,33685259,"+",1939,-2.05808449468367,-1.20314712569879,15.9883135362646,6.37347004699038e-05,0.00475566291325808
"267","gene-LOC119072010","IV",50977541,50978464,"+",924,-4.02272143875171,-1.82670562500816,15.9698427103757,6.43595990640854e-05,0.00478430457761785
"286","gene-LOC119068589","X",24670003,24864031,"-",5774,-4.23227672357736,-2.72430281615774,14.75750452909,0.000122259946128252,0.00847959899254673
"292","gene-LOC119068845","X",27185987,27186978,"-",920,-5.38721187795248,-3.21732284300518,14.567322555064,0.00013523957429205,0.00919258585804318
"320","gene-LOC119084871","III",12579484,12583728,"+",1796,-2.47984876233539,-1.94951844116958,13.1219952343588,0.000291849054886076,0.0181019376293089
"329","gene-LOC119067520","X",31442989,31583934,"-",5021,-5.26950574005424,-3.27265857973194,12.7071095931347,0.000364268019560117,0.021975658517414
"341","gene-LOC119079983","III",52180372,52188399,"+",7962,-2.70464178852084,-2.09191076123942,12.1781774235365,0.00048351865001257,0.0281433377285909
"342","gene-LOC119070964","IV",14186559,14257791,"+",5053,-2.39534331823918,-1.88384823914273,12.0797799100906,0.000509716143176455,0.0295814210811879
"344","gene-LOC119081506","III",31303909,31304447,"-",426,-5.0656392855839,-3.38773153084089,12.0087870707395,0.000529503065817834,0.0305510954952104
"350","gene-LOC119078382","III",37707980,37747847,"+",7189,-5.07785178869209,-3.38728201174554,11.8912822844046,0.000563972821710698,0.0319820930437541
"360","gene-LOC119072061","IV",56254168,56259581,"-",3295,-3.22357499088061,-2.44956395088559,11.4134643015651,0.000729137422170243,0.0401055730019745
"366","gene-LOC119068744","X",28346325,28349085,"+",2182,-5.25154065083968,-3.27325075532268,11.3602374461307,0.000750332312446107,0.0406025100278803
"387","gene-LOC119070403","X",46128551,46140362,"+",1020,-3.96916520565511,-2.92659590431575,10.888921569497,0.000967411381079526,0.0496154550172259
